"","gene"
"114","ENSDARG00000017615,tlx3b,10,protein_coding"
"115","ENSDARG00000018181,dnajc28,9,protein_coding"
"116","ENSDARG00000004836,dnajc5ab,23,protein_coding"
"117","ENSDARG00000006240,slc27a1a,3,protein_coding"
"118","ENSDARG00000015823,vps26b,15,protein_coding"
"119","ENSDARG00000030972,dnaja1,1,protein_coding"
"120","ENSDARG00000018529,lipf,12,protein_coding"
"121","ENSDARG00000008953,pofut1,23,protein_coding"
"122","ENSDARG00000023323,ywhaqb,17,protein_coding"
"123","ENSDARG00000011613,rbm39a,11,protein_coding"
"124","ENSDARG00000018966,cyb5r1,11,protein_coding"
"125","ENSDARG00000006025,tp53i11b,18,protein_coding"
"126","ENSDARG00000012881,slc4a1a,3,protein_coding"
"127","ENSDARG00000052157,il12rb2,6,protein_coding"
"128","ENSDARG00000014361,tmbim4,4,protein_coding"
"129","ENSDARG00000005172,dynll2b,21,protein_coding"
"130","ENSDARG00000015495,klf3,1,protein_coding"
"131","ENSDARG00000015164,mknk2b,8,protein_coding"
"132","ENSDARG00000016059,rab5b,9,protein_coding"
"133","ENSDARG00000008735,atp6ap2,22,protein_coding"
"134","ENSDARG00000010785,thbs1b,20,protein_coding"
"135","ENSDARG00000004473,tbx21,12,protein_coding"
"136","ENSDARG00000021374,cab39l1,14,protein_coding"
"137","ENSDARG00000014329,npm1a,10,protein_coding"
"138","ENSDARG00000019732,mtch2,7,protein_coding"
"139","ENSDARG00000013613,anxa13l,2,protein_coding"
"140","ENSDARG00000013926,slc16a9a,17,protein_coding"
"141","ENSDARG00000005593,rxrga,2,processed_transcript"
"142","ENSDARG00000020442,snx5,13,protein_coding"
"143","ENSDARG00000013087,ndrg3a,11,protein_coding"
"144","ENSDARG00000010423,npsn,7,protein_coding"
"145","ENSDARG00000004311,ldlrap1a,19,protein_coding"
"146","ENSDARG00000020948,gmcl1,10,protein_coding"
"147","ENSDARG00000017860,rgs5b,2,protein_coding"
"148","ENSDARG00000031761,dab2,5,protein_coding"
"149","ENSDARG00000020898,cyb5r4,16,protein_coding"
"150","ENSDARG00000005927,tbc1d17,3,protein_coding"
"151","ENSDARG00000007323,chmp4bb,8,protein_coding"
"152","ENSDARG00000016233,sdr16c5a,2,protein_coding"
"153","ENSDARG00000003902,ctsl.1,17,protein_coding"
"154","ENSDARG00000075021,FAM120A,11,protein_coding"
"155","ENSDARG00000010432,eaf2,9,protein_coding"
"156","ENSDARG00000016573,mroh1,16,protein_coding"
"157","ENSDARG00000016765,scamp3,19,protein_coding"
"158","ENSDARG00000045172,minpp1b,12,protein_coding"
"159","ENSDARG00000037091,asah1a,14,protein_coding"
"160","ENSDARG00000001910,rorab,7,protein_coding"
"161","ENSDARG00000021408,kdelc2,21,protein_coding"
"162","ENSDARG00000011239,ppp1r14aa,5,protein_coding"
"163","ENSDARG00000014793,ehd1b,10,protein_coding"
"164","ENSDARG00000096829,blvrb,18,protein_coding"
"165","ENSDARG00000019791,prmt3,7,protein_coding"
"166","ENSDARG00000014013,lbr,20,protein_coding"
"167","ENSDARG00000019362,ptbp1a,2,protein_coding"
"168","ENSDARG00000015752,zap70,8,protein_coding"
"169","ENSDARG00000004160,reep3b,12,protein_coding"
"170","ENSDARG00000018687,itga2b,3,protein_coding"
"171","ENSDARG00000009851,wdr41,21,protein_coding"
"172","ENSDARG00000002750,phf20a,11,protein_coding"
"173","ENSDARG00000013539,ikzf1,13,protein_coding"
"174","ENSDARG00000004616,mtmr2,5,protein_coding"
"175","ENSDARG00000003584,pla2g7,20,protein_coding"
"176","ENSDARG00000003934,nxnl2,10,protein_coding"
"177","ENSDARG00000017624,krt4,6,protein_coding"
"178","ENSDARG00000017140,zgc:63587,8,protein_coding"
"179","ENSDARG00000015803,smcr8b,1,protein_coding"
"180","ENSDARG00000015575,cyp3c1,3,protein_coding"
"181","ENSDARG00000008816,glud1a,13,protein_coding"
"182","ENSDARG00000003616,arih1,18,protein_coding"
"183","ENSDARG00000006468,grap2a,3,protein_coding"
"184","ENSDARG00000009169,mob1ba,5,protein_coding"
"185","ENSDARG00000003113,ada,23,protein_coding"
"186","ENSDARG00000003216,anxa2a,25,protein_coding"
"187","ENSDARG00000012776,smarca1,5,protein_coding"
"188","ENSDARG00000009430,tmem30c,9,protein_coding"
"189","ENSDARG00000005561,gfm2,5,protein_coding"
"190","ENSDARG00000014333,ormdl1,9,protein_coding"
"191","ENSDARG00000019950,carf,9,protein_coding"
"192","ENSDARG00000033042,ptprja,7,protein_coding"
